id,date_of_last_activity,avatar,number_of_messages_sent
uid-2952284496566719960,2015-02-05,false,0
uid-2952284496566719961,2014-12-13,false,0
uid-2952284496566719962,2014-12-13,false,0
uid-3008433417634782521,,false,0
uid-3014070650799936715,,false,0
uid-3053444205980321778,,false,0
uid-3074460076586693204,,false,0
uid-3074460076586693205,,false,0
uid-3078386531677230780,2014-09-17,false,1
uid-3078835216647760815,,false,0
uid-3110434563012788819,2014-06-25,false,0
uid-3135117596840251135,,false,0
uid-3144103867131425216,2014-09-24,false,0
uid-3161891972848110395,,false,0
uid-3161891972848110396,2014-09-04,false,4
uid-3193316940275900606,2014-07-28,true,0
uid-3257948362904845857,2015-01-28,false,0
uid-3281880191199267029,,false,0
uid-3287943366583496449,2014-09-24,false,0
uid-3317374428007345616,2015-01-23,false,0
uid-3343995259781354044,2014-07-12,false,0
uid-3344374518703545084,2015-01-14,true,0
uid-3344374518703545085,2014-12-31,false,0
uid-3344374518703545086,2015-02-04,true,0
uid-3356965167320494236,2015-02-04,false,0
uid-3356965167320494237,2015-02-06,false,0
uid-3372146049411848904,,false,0
uid-3372146049411848905,,false,0
uid-3380717417747128764,2014-11-20,false,0
uid-3472188184772409706,,false,0
uid-3478836122394615176,2014-11-11,false,0
uid-3478836122394615177,,false,0
uid-3478836122394615178,,false,0
uid-3478836122394615179,,false,0
uid-3478836122394615180,2014-05-28,false,0
uid-3478836122394615181,2014-05-30,false,0
uid-3478836122394615182,2014-05-30,false,0
uid-3478836122394615183,2014-08-07,false,0
uid-3478836122394615184,,false,0
uid-3510410527893861728,2014-08-15,true,0
uid-3510410527893861729,2014-08-17,false,0
uid-3510410527893861730,2015-02-05,false,1
uid-3510410527893861731,2015-02-06,true,2
uid-3510410527893861732,2014-10-11,false,0
uid-3516484074484369857,,false,0
uid-3516484074484369858,2014-11-13,false,5
uid-3516484074484369859,,false,0
uid-3516484074484369860,2014-06-26,false,0
uid-3530078056738491727,2015-02-06,false,0
uid-3586987621114453767,,false,0
uid-3638628787099625281,2015-02-06,false,6
uid-3644424414105785086,2014-10-29,false,0
uid-3644424414105785087,2014-10-29,false,0
uid-3644424414105785088,2014-10-29,false,0
uid-3660798334728526422,2015-02-05,false,0
uid-3660798334728526423,2014-12-21,false,0
uid-3660798334728526424,2014-12-27,false,0
uid-3660798334728526425,2015-02-06,false,0
uid-3660798334728526426,2015-02-05,false,0
uid-3660798334728526427,2015-01-23,false,1
uid-3660798334728526428,2014-12-24,false,0
uid-3685306948218031665,,false,0
uid-3685306948218031666,2015-01-12,false,0
uid-3685306948218031667,2015-02-06,false,0
uid-3685306948218031668,2015-02-05,false,0
